Timestamp,Accel,Gyr,Label,Sep
15:14:38.420772,"['-475', ' -1156', ' 1733', ' 207', ' 25', ' -42', ' -878', ' -1434', ' 1336']","[' -33', ' -62', ' -67', ' 1760', ' 77', ' -911', ' -35', ' 38', ' -75']",pinch2finger,False
15:14:38.509051,"['-452', ' -1140', ' 1720', ' 207', ' 25', ' -42', ' -865', ' -1388', ' 1346']","[' -33', ' -62', ' -67', ' 1809', ' 70', ' -937', ' -35', ' 38', ' -75']",pinch2finger,False
15:14:38.510049,"['-438', ' -1132', ' 1711', ' 207', ' 25', ' -42', ' -809', ' -1372', ' 1315']","[' -33', ' -62', ' -67', ' 1847', ' 68', ' -887', ' -35', ' 38', ' -75']",pinch2finger,False
15:14:38.511046,"['-423', ' -1128', ' 1719', ' 207', ' 25', ' -42', ' -811', ' -1356', ' 1323']","[' -33', ' -62', ' -67', ' 1860', ' 61', ' -879', ' -35', ' 38', ' -75']",pinch2finger,False
15:14:38.512043,"['-424', ' -1140', ' 1745', ' 207', ' 25', ' -42', ' -794', ' -1380', ' 1352']","[' 11', ' 9', ' 18', ' 1863', ' 38', ' -898', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.514041,"['-391', ' -1167', ' 1756', ' 207', ' 25', ' -42', ' -788', ' -1451', ' 1392']","[' 11', ' 9', ' 18', ' 1852', ' 33', ' -890', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.515039,"['-347', ' -1204', ' 1764', ' 173', ' 98', ' 3', ' -708', ' -1541', ' 1407']","[' 11', ' 9', ' 18', ' 1868', ' 25', ' -895', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.516036,"['-324', ' -1244', ' 1785', ' 173', ' 98', ' 3', ' -702', ' -1564', ' 1437']","[' 11', ' 9', ' 18', ' 1926', ' 28', ' -882', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.517033,"['-352', ' -1225', ' 1803', ' 173', ' 98', ' 3', ' -718', ' -1540', ' 1428']","[' 11', ' 9', ' 18', ' 1893', ' 56', ' -909', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.518031,"['-372', ' -1227', ' 1818', ' 173', ' 98', ' 3', ' -731', ' -1501', ' 1412']","[' 11', ' 9', ' 18', ' 1919', ' 81', ' -941', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.519028,"['-339', ' -1217', ' 1807', ' 173', ' 98', ' 3', ' -734', ' -1459', ' 1390']","[' 11', ' 9', ' 18', ' 1912', ' 122', ' -963', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.520025,"['-288', ' -1189', ' 1803', ' 173', ' 98', ' 3', ' -670', ' -1393', ' 1361']","[' 11', ' 9', ' 18', ' 1935', ' 150', ' -992', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.522020,"['-275', ' -1160', ' 1776', ' 173', ' 98', ' 3', ' -701', ' -1371', ' 1343']","[' 11', ' 9', ' 18', ' 1942', ' 180', ' -1023', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.523017,"['-256', ' -1129', ' 1765', ' 173', ' 98', ' 3', ' -693', ' -1321', ' 1344']","[' 11', ' 9', ' 18', ' 1968', ' 168', ' -1022', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.524015,"['-262', ' -1124', ' 1772', ' 173', ' 98', ' 3', ' -717', ' -1321', ' 1349']","[' 11', ' 9', ' 18', ' 1987', ' 183', ' -1006', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.525051,"['-268', ' -1094', ' 1734', ' 173', ' 98', ' 3', ' -768', ' -1346', ' 1348']","[' 11', ' 9', ' 18', ' 1925', ' 149', ' -970', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.527045,"['-308', ' -1083', ' 1732', ' 173', ' 98', ' 3', ' -805', ' -1371', ' 1346']","[' 11', ' 9', ' 18', ' 1913', ' 120', ' -956', ' -79', ' 110', ' -80']",pinch2finger,False
15:14:38.528035,"['-347', ' -1078', ' 1737', ' 173', ' 98', ' 3', ' -798', ' -1336', ' 1390']","[' 68', ' 33', ' 46', ' 1958', ' 137', ' -970', ' -144', ' 118', ' -107']",pinch2finger,False
15:14:38.529571,"['-396', ' -1040', ' 1732', ' 173', ' 98', ' 3', ' -815', ' -1409', ' 1377']","[' 68', ' 33', ' 46', ' 1917', ' 77', ' -934', ' -144', ' 118', ' -107']",pinch2finger,False
15:14:38.530603,"['-417', ' -1068', ' 1745', ' 173', ' 98', ' 3', ' -780', ' -1365', ' 1398']","[' 68', ' 33', ' 46', ' 1834', ' 100', ' -920', ' -144', ' 118', ' -107']",pinch2finger,False
15:14:38.531600,"['-444', ' -1040', ' 1759', ' 146', ' 104', ' 1', ' -730', ' -1349', ' 1401']","[' 68', ' 33', ' 46', ' 1840', ' 132', ' -900', ' -144', ' 118', ' -107']",pinch2finger,False
15:14:38.532602,"['-434', ' -1057', ' 1711', ' 146', ' 104', ' 1', ' -709', ' -1357', ' 1363']","[' 68', ' 33', ' 46', ' 1783', ' 142', ' -917', ' -144', ' 118', ' -107']",pinch2finger,False
