Timestamp,Accel,Gyr,Label,Sep
13:41:41.608258,"['-422', ' 689', ' 1770', ' -135', ' 52', ' 26', ' -676', ' -1811', ' 697']","[' -115', ' -229', ' 198', ' 1066', ' 1293', ' -1345', ' -401', ' -89', ' 52']",pinch2finger,False
13:41:41.687675,"['-329', ' 801', ' 1610', ' -135', ' 52', ' 26', ' -827', ' -1803', ' 614']","[' -159', ' -296', ' 214', ' 847', ' 1296', ' -1537', ' -464', ' -198', ' 45']",pinch2finger,False
13:41:41.688675,"['-271', ' 945', ' 1359', ' -135', ' 52', ' 26', ' -909', ' -1861', ' 488']","[' -172', ' -380', ' 282', ' 834', ' 1345', ' -1789', ' -536', ' -276', ' 86']",pinch2finger,False
13:41:41.689677,"['-419', ' 985', ' 1206', ' -135', ' 52', ' 26', ' -879', ' -1957', ' 427']","[' -131', ' -535', ' 285', ' 878', ' 1362', ' -1901', ' -652', ' -313', ' 139']",pinch2finger,False
13:41:41.690670,"['-400', ' 878', ' 1217', ' -135', ' 52', ' 26', ' -811', ' -1941', ' 463']","[' -99', ' -637', ' 258', ' 1011', ' 1380', ' -1744', ' -841', ' -349', ' 139']",pinch2finger,False
13:41:41.692664,"['-446', ' 789', ' 1404', ' -135', ' 52', ' 26', ' -665', ' -1912', ' 501']","[' -142', ' -684', ' 320', ' 1002', ' 1321', ' -1535', ' -1036', ' -372', ' 165']",pinch2finger,False
13:41:41.693654,"['-632', ' 728', ' 1492', ' -135', ' 52', ' 26', ' -610', ' -1844', ' 539']","[' -172', ' -703', ' 324', ' 1007', ' 1381', ' -1383', ' -1216', ' -423', ' 207']",pinch2finger,False
13:41:41.694652,"['-659', ' 662', ' 1487', ' -135', ' 52', ' 26', ' -651', ' -1875', ' 533']","[' -123', ' -711', ' 281', ' 898', ' 1425', ' -1519', ' -1383', ' -491', ' 219']",pinch2finger,False
13:41:41.695656,"['-619', ' 659', ' 1443', ' -135', ' 52', ' 26', ' -905', ' -1810', ' 447']","[' -115', ' -822', ' 205', ' 756', ' 1568', ' -1758', ' -1649', ' -568', ' 293']",pinch2finger,False
13:41:41.696652,"['-464', ' 758', ' 1331', ' -268', ' 101', ' -17', ' -778', ' -1855', ' 472']","[' -161', ' -862', ' 221', ' 792', ' 1589', ' -1879', ' -1986', ' -584', ' 408']",pinch2finger,False
13:41:41.698649,"['-472', ' 892', ' 1290', ' -268', ' 101', ' -17', ' -613', ' -1871', ' 568']","[' -182', ' -860', ' 221', ' 822', ' 1692', ' -1924', ' -2455', ' -590', ' 510']",pinch2finger,False
13:41:41.699647,"['-438', ' 898', ' 1267', ' -268', ' 101', ' -17', ' -636', ' -1834', ' 656']","[' -210', ' -867', ' 155', ' 852', ' 1661', ' -1913', ' -2920', ' -587', ' 579']",pinch2finger,False
13:41:41.700648,"['-94', ' 785', ' 1379', ' -268', ' 101', ' -17', ' -789', ' -1810', ' 692']","[' -189', ' -884', ' 108', ' 998', ' 1616', ' -1730', ' -3379', ' -494', ' 694']",pinch2finger,False
13:41:41.702646,"['-310', ' 759', ' 1434', ' -268', ' 101', ' -17', ' -726', ' -1823', ' 665']","[' -233', ' -935', ' 89', ' 896', ' 1479', ' -1707', ' -3701', ' -319', ' 699']",pinch2finger,False
13:41:41.703643,"['-507', ' 712', ' 1441', ' -268', ' 101', ' -17', ' -685', ' -1816', ' 718']","[' -237', ' -966', ' 57', ' 820', ' 1415', ' -1566', ' -3924', ' -235', ' 839']",pinch2finger,False
13:41:41.704640,"['-699', ' 584', ' 1593', ' -268', ' 101', ' -17', ' -750', ' -1782', ' 756']","[' -249', ' -981', ' 51', ' 1010', ' 1391', ' -1428', ' -4038', ' -158', ' 926']",pinch2finger,False
