Timestamp,Accel,Gyr,Label,Sep
17:09:05.024718,"['-518', ' 1610', ' 1085', ' 9', ' -12', ' 22', ' -1025', ' -1417', ' 1038']","[' -40', ' -25', ' -120', ' 1210', ' 1575', ' 18', ' 117', ' -29', ' 69']",pinch2finger,False
17:09:05.106143,"['-630', ' 1584', ' 1157', ' 14', ' 26', ' 13', ' -1089', ' -1433', ' 1018']","[' -45', ' -5', ' -117', ' 1217', ' 1634', ' -65', ' 113', ' 2', ' 103']",pinch2finger,False
17:09:05.107137,"['-683', ' 1582', ' 1171', ' -13', ' 50', ' 2', ' -1073', ' -1357', ' 981']","[' -112', ' -18', ' -90', ' 1252', ' 1590', ' -32', ' 94', ' -21', ' 102']",pinch2finger,False
17:09:05.108135,"['-679', ' 1608', ' 1077', ' -20', ' 2', ' -34', ' -1121', ' -1414', ' 1050']","[' -98', ' -3', ' -70', ' 1295', ' 1592', ' 7', ' 99', ' -28', ' 96']",pinch2finger,False
17:09:05.109135,"['-699', ' 1592', ' 1099', ' -44', ' 16', ' -22', ' -1066', ' -1450', ' 1040']","[' -106', ' 0', ' -79', ' 1309', ' 1549', ' 7', ' 95', ' -25', ' 93']",pinch2finger,False
17:09:05.111127,"['-704', ' 1560', ' 1167', ' -43', ' 37', ' -9', ' -1085', ' -1448', ' 1063']","[' -95', ' 2', ' -77', ' 1289', ' 1580', ' -80', ' 95', ' -21', ' 97']",pinch2finger,False
17:09:05.112126,"['-728', ' 1529', ' 1203', ' -33', ' 34', ' -10', ' -1061', ' -1508', ' 1074']","[' -74', ' -2', ' -72', ' 1309', ' 1581', ' -49', ' 77', ' 2', ' 97']",pinch2finger,False
17:09:05.113121,"['-729', ' 1545', ' 1212', ' -28', ' 22', ' -3', ' -1080', ' -1518', ' 1078']","[' -53', ' 5', ' -73', ' 1258', ' 1584', ' -80', ' 81', ' 0', ' 95']",pinch2finger,False
17:09:05.114121,"['-694', ' 1517', ' 1245', ' -25', ' -1', ' -13', ' -1077', ' -1533', ' 1075']","[' -20', ' -4', ' -73', ' 1263', ' 1576', ' -74', ' 82', ' -21', ' 81']",pinch2finger,False
17:09:05.115118,"['-672', ' 1538', ' 1229', ' -17', ' -11', ' -34', ' -1029', ' -1547', ' 1083']","[' 1', ' -1', ' -74', ' 1285', ' 1574', ' -88', ' 78', ' -42', ' 39']",pinch2finger,False
17:09:05.116114,"['-663', ' 1504', ' 1271', ' -1', ' 16', ' -19', ' -1059', ' -1531', ' 1106']","[' 41', ' 6', ' -73', ' 1312', ' 1568', ' -62', ' 63', ' -48', ' 37']",pinch2finger,False
17:09:05.117113,"['-680', ' 1534', ' 1228', ' 21', ' 14', ' -14', ' -1065', ' -1490', ' 1067']","[' 76', ' -5', ' -62', ' 1307', ' 1550', ' -36', ' 64', ' -29', ' 42']",pinch2finger,False
17:09:05.118108,"['-656', ' 1604', ' 1166', ' 17', ' 16', ' -12', ' -1054', ' -1510', ' 1099']","[' 85', ' -14', ' -48', ' 1350', ' 1550', ' -51', ' 59', ' -1', ' 51']",pinch2finger,False
17:09:05.119106,"['-663', ' 1587', ' 1147', ' 7', ' 27', ' -9', ' -1040', ' -1482', ' 1100']","[' 99', ' -34', ' -56', ' 1312', ' 1561', ' -79', ' 65', ' -9', ' 41']",pinch2finger,False
17:09:05.121069,"['-644', ' 1605', ' 1128', ' -4', ' 43', ' -2', ' -1032', ' -1428', ' 1065']","[' 123', ' -29', ' -38', ' 1258', ' 1565', ' -84', ' 62', ' 2', ' 45']",pinch2finger,False
17:09:05.122105,"['-601', ' 1633', ' 1109', ' -30', ' 38', ' 6', ' -1031', ' -1406', ' 995']","[' 106', ' -37', ' -34', ' 1231', ' 1592', ' -96', ' 52', ' 10', ' 53']",pinch2finger,False
17:09:05.123100,"['-574', ' 1695', ' 1010', ' -65', ' 54', ' -10', ' -1015', ' -1400', ' 971']","[' 63', ' -22', ' -18', ' 1214', ' 1616', ' -129', ' 23', ' 11', ' 81']",pinch2finger,False
17:09:05.124098,"['-510', ' 1715', ' 967', ' -177', ' 28', ' -50', ' -1075', ' -1385', ' 974']","[' -3', ' -22', ' 12', ' 1245', ' 1603', ' -111', ' 39', ' -10', ' 72']",pinch2finger,False
17:09:05.125096,"['-579', ' 1755', ' 897', ' -292', ' 91', ' -54', ' -1115', ' -1363', ' 1024']","[' -58', ' -25', ' 36', ' 1341', ' 1588', ' -81', ' 1', ' 3', ' 85']",pinch2finger,False
17:09:05.126094,"['-605', ' 1737', ' 956', ' -426', ' 100', ' -62', ' -1111', ' -1322', ' 1013']","[' -107', ' -59', ' 63', ' 1400', ' 1488', ' -58', ' 7', ' 9', ' 91']",pinch2finger,False
17:09:05.127095,"['-643', ' 1674', ' 1019', ' -504', ' 185', ' -29', ' -1171', ' -1397', ' 984']","[' -128', ' -66', ' 72', ' 1402', ' 1579', ' -76', ' 4', ' 0', ' 80']",pinch2finger,False
17:09:05.129085,"['-608', ' 1757', ' 832', ' -658', ' 141', ' -98', ' -1267', ' -1497', ' 965']","[' -129', ' -125', ' 96', ' 1407', ' 1521', ' -87', ' -14', ' 59', ' 92']",pinch2finger,False
17:09:05.130084,"['-810', ' 1330', ' 1304', ' -805', ' 184', ' -94', ' -1224', ' -1503', ' 911']","[' -157', ' -166', ' 142', ' 1448', ' 1531', ' -51', ' -36', ' 27', ' 62']",pinch2finger,False
17:09:05.131080,"['-800', ' 1265', ' 1572', ' -671', ' 187', ' -43', ' -1140', ' -1547', ' 969']","[' -155', ' -215', ' 150', ' 1406', ' 1539', ' 4', ' -52', ' 3', ' 39']",pinch2finger,False
17:09:05.132082,"['-837', ' 1291', ' 1473', ' -609', ' 218', ' -34', ' -1236', ' -1626', ' 931']","[' -125', ' -237', ' 156', ' 1535', ' 1458', ' -8', ' -50', ' -19', ' -10']",pinch2finger,False
