Timestamp,Accel,Gyr,Label,Sep
13:25:26.987065,"['-471', ' 869', ' 1817', ' -134', ' 53', ' -96', ' -214', ' -2018', ' 456']","[' -186', ' 23', ' 53', ' 1445', ' 1011', ' -729', ' 73', ' -8', ' 76']",pinch2finger,False
13:25:27.070433,"['-504', ' 877', ' 1766', ' -134', ' 53', ' -96', ' -198', ' -2003', ' 468']","[' -186', ' 23', ' 53', ' 1418', ' 1004', ' -720', ' 73', ' -8', ' 76']",pinch2finger,False
13:25:27.072428,"['-540', ' 877', ' 1768', ' -134', ' 53', ' -96', ' -229', ' -1932', ' 408']","[' -186', ' 23', ' 53', ' 1371', ' 1042', ' -733', ' 73', ' -8', ' 76']",pinch2finger,False
13:25:27.073425,"['-528', ' 863', ' 1765', ' -134', ' 53', ' -96', ' -285', ' -1917', ' 336']","[' -186', ' 23', ' 53', ' 1352', ' 1070', ' -774', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.074454,"['-535', ' 864', ' 1769', ' -134', ' 53', ' -96', ' -293', ' -1944', ' 363']","[' -186', ' 23', ' 53', ' 1345', ' 1055', ' -763', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.075453,"['-512', ' 834', ' 1786', ' -134', ' 53', ' -96', ' -283', ' -1978', ' 424']","[' -186', ' 23', ' 53', ' 1356', ' 1025', ' -725', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.077448,"['-552', ' 781', ' 1839', ' -134', ' 53', ' -96', ' -268', ' -2029', ' 492']","[' -186', ' 23', ' 53', ' 1432', ' 1017', ' -677', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.078443,"['-570', ' 698', ' 1916', ' -134', ' 53', ' -96', ' -271', ' -2055', ' 529']","[' -186', ' 23', ' 53', ' 1490', ' 1009', ' -645', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.079440,"['-710', ' 494', ' 1940', ' -134', ' 53', ' -96', ' -268', ' -2086', ' 532']","[' -186', ' 23', ' 53', ' 1515', ' 991', ' -669', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.080440,"['-508', ' 513', ' 2034', ' -134', ' 53', ' -96', ' -299', ' -2138', ' 525']","[' -186', ' 23', ' 53', ' 1551', ' 955', ' -742', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.082432,"['-629', ' 578', ' 2027', ' -134', ' 53', ' -96', ' -352', ' -2121', ' 450']","[' -186', ' 23', ' 53', ' 1545', ' 999', ' -733', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.083432,"['-539', ' 628', ' 1953', ' -134', ' 53', ' -96', ' -285', ' -2081', ' 390']","[' -186', ' 23', ' 53', ' 1596', ' 1033', ' -797', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.084427,"['-398', ' 722', ' 1979', ' -134', ' 53', ' -96', ' -265', ' -2020', ' 337']","[' -55', ' 21', ' 50', ' 1610', ' 1046', ' -825', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.085427,"['-475', ' 741', ' 1943', ' -33', ' 33', ' -38', ' -281', ' -2014', ' 314']","[' -55', ' 21', ' 50', ' 1564', ' 1066', ' -845', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.086427,"['-494', ' 696', ' 1909', ' -33', ' 33', ' -38', ' -247', ' -2031', ' 357']","[' -55', ' 21', ' 50', ' 1492', ' 1035', ' -839', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.087426,"['-492', ' 739', ' 1949', ' -33', ' 33', ' -38', ' -235', ' -2029', ' 376']","[' -55', ' 21', ' 50', ' 1474', ' 1076', ' -837', ' 33', ' 21', ' 80']",pinch2finger,False
13:25:27.088424,"['-472', ' 747', ' 1908', ' -33', ' 33', ' -38', ' -190', ' -2028', ' 369']","[' -55', ' 21', ' 50', ' 1409', ' 1049', ' -869', ' -28', ' 14', ' 43']",pinch2finger,False
13:25:27.089421,"['-539', ' 788', ' 1813', ' -33', ' 33', ' -38', ' -144', ' -2022', ' 384']","[' -55', ' 21', ' 50', ' 1386', ' 1051', ' -923', ' -28', ' 14', ' 43']",pinch2finger,False
13:25:27.091419,"['-515', ' 819', ' 1824', ' -33', ' 33', ' -38', ' -156', ' -2033', ' 403']","[' -55', ' 21', ' 50', ' 1433', ' 1052', ' -938', ' -28', ' 14', ' 43']",pinch2finger,False
13:25:27.092415,"['-488', ' 804', ' 1834', ' -33', ' 33', ' -38', ' -211', ' -2039', ' 430']","[' -55', ' 21', ' 50', ' 1436', ' 1050', ' -900', ' -28', ' 14', ' 43']",pinch2finger,False
13:25:27.093412,"['-435', ' 748', ' 1874', ' -33', ' 33', ' -38', ' -169', ' -2074', ' 437']","[' -55', ' 21', ' 50', ' 1474', ' 1020', ' -871', ' -28', ' 14', ' 43']",pinch2finger,False
