Timestamp,Accel,Gyr,Label,Sep
12:41:19.369110,"['-256', ' 812', ' 1817', ' -213', ' -105', ' -7', ' -662', ' -1857', ' 287']","[' -72', ' 181', ' -29', ' 1407', ' 946', ' -970', ' -143', ' -39', ' -43']",pinch2finger,False
12:41:19.450471,"['-213', ' 780', ' 1868', ' -213', ' -105', ' -7', ' -685', ' -1864', ' 290']","[' -61', ' 184', ' -19', ' 1448', ' 925', ' -945', ' -143', ' -39', ' -43']",pinch2finger,False
12:41:19.451469,"['-198', ' 769', ' 1891', ' -213', ' -105', ' -7', ' -715', ' -1882', ' 284']","[' -62', ' 211', ' -24', ' 1460', ' 929', ' -950', ' -143', ' -39', ' -43']",pinch2finger,False
12:41:19.452466,"['-193', ' 758', ' 1876', ' -257', ' -113', ' -20', ' -749', ' -1865', ' 271']","[' -75', ' 199', ' -4', ' 1490', ' 928', ' -956', ' -143', ' -39', ' -43']",pinch2finger,False
12:41:19.453463,"['-191', ' 777', ' 1859', ' -257', ' -113', ' -20', ' -782', ' -1869', ' 237']","[' -67', ' 204', ' 3', ' 1498', ' 938', ' -948', ' -143', ' -39', ' -43']",pinch2finger,False
12:41:19.455465,"['-232', ' 794', ' 1849', ' -257', ' -113', ' -20', ' -774', ' -1858', ' 229']","[' -85', ' 201', ' 18', ' 1504', ' 938', ' -955', ' -143', ' -39', ' -43']",pinch2finger,False
12:41:19.456466,"['-285', ' 811', ' 1835', ' -257', ' -113', ' -20', ' -765', ' -1870', ' 234']","[' -73', ' 194', ' 22', ' 1514', ' 930', ' -963', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.457461,"['-317', ' 803', ' 1829', ' -257', ' -113', ' -20', ' -749', ' -1912', ' 222']","[' -79', ' 187', ' 26', ' 1465', ' 942', ' -949', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.458456,"['-320', ' 760', ' 1839', ' -257', ' -113', ' -20', ' -699', ' -1920', ' 232']","[' -51', ' 175', ' 25', ' 1476', ' 927', ' -967', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.459453,"['-343', ' 729', ' 1891', ' -257', ' -113', ' -20', ' -729', ' -1917', ' 240']","[' -45', ' 197', ' 26', ' 1438', ' 938', ' -940', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.460454,"['-343', ' 723', ' 1912', ' -257', ' -113', ' -20', ' -720', ' -1928', ' 233']","[' -39', ' 191', ' 24', ' 1434', ' 905', ' -958', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.462452,"['-312', ' 689', ' 1937', ' -257', ' -113', ' -20', ' -751', ' -1934', ' 230']","[' -22', ' 211', ' 12', ' 1436', ' 945', ' -919', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.463449,"['-320', ' 614', ' 1997', ' -257', ' -113', ' -20', ' -780', ' -1964', ' 230']","[' 11', ' 196', ' 14', ' 1490', ' 851', ' -931', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.464447,"['-362', ' 600', ' 2023', ' -257', ' -113', ' -20', ' -774', ' -1939', ' 250']","[' 24', ' 209', ' 13', ' 1525', ' 891', ' -898', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.465445,"['-373', ' 624', ' 1984', ' -224', ' -74', ' -80', ' -786', ' -1937', ' 224']","[' 50', ' 215', ' 1', ' 1565', ' 875', ' -879', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.467439,"['-384', ' 652', ' 1966', ' -224', ' -74', ' -80', ' -832', ' -1953', ' 212']","[' 75', ' 202', ' -9', ' 1565', ' 890', ' -877', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.468440,"['-397', ' 628', ' 1972', ' -224', ' -74', ' -80', ' -857', ' -1954', ' 220']","[' 97', ' 179', ' 9', ' 1615', ' 853', ' -860', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.469434,"['-388', ' 536', ' 2067', ' -224', ' -74', ' -80', ' -838', ' -1988', ' 230']","[' 137', ' 166', ' 4', ' 1655', ' 883', ' -872', ' -213', ' -70', ' 73']",pinch2finger,False
12:41:19.470432,"['-380', ' 496', ' 2141', ' -224', ' -74', ' -80', ' -824', ' -2008', ' 235']","[' 177', ' 151', ' 26', ' 1696', ' 882', ' -879', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.471428,"['-340', ' 521', ' 2110', ' -224', ' -74', ' -80', ' -832', ' -1995', ' 199']","[' 211', ' 148', ' 41', ' 1705', ' 909', ' -899', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.473423,"['-280', ' 566', ' 2041', ' -224', ' -74', ' -80', ' -855', ' -1988', ' 173']","[' 253', ' 135', ' 56', ' 1693', ' 909', ' -885', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.474420,"['-311', ' 633', ' 1972', ' -224', ' -74', ' -80', ' -844', ' -1968', ' 183']","[' 283', ' 114', ' 56', ' 1679', ' 898', ' -880', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.475422,"['-350', ' 678', ' 1950', ' -224', ' -74', ' -80', ' -854', ' -1958', ' 164']","[' 309', ' 108', ' 47', ' 1638', ' 886', ' -889', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.476420,"['-437', ' 678', ' 1962', ' -224', ' -74', ' -80', ' -842', ' -1974', ' 219']","[' 342', ' 85', ' 50', ' 1627', ' 898', ' -900', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.477414,"['-463', ' 677', ' 1957', ' -224', ' -74', ' -80', ' -811', ' -1953', ' 172']","[' 365', ' 72', ' 43', ' 1616', ' 913', ' -874', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.479409,"['-467', ' 649', ' 2001', ' -224', ' -74', ' -80', ' -821', ' -1940', ' 171']","[' 370', ' 66', ' 27', ' 1584', ' 886', ' -863', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.480405,"['-417', ' 603', ' 2002', ' -221', ' -51', ' -127', ' -810', ' -1904', ' 151']","[' 356', ' 56', ' 22', ' 1515', ' 841', ' -802', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.481407,"['-384', ' 580', ' 2028', ' -221', ' -51', ' -127', ' -818', ' -1871', ' 108']","[' 315', ' 56', ' 23', ' 1519', ' 872', ' -793', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.482400,"['-363', ' 602', ' 1996', ' -221', ' -51', ' -127', ' -837', ' -1860', ' 135']","[' 280', ' 26', ' 20', ' 1599', ' 903', ' -829', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.484399,"['-382', ' 664', ' 1967', ' -221', ' -51', ' -127', ' -848', ' -1852', ' 128']","[' 236', ' 18', ' 18', ' 1606', ' 886', ' -842', ' -261', ' -41', ' 201']",pinch2finger,False
12:41:19.485393,"['-399', ' 713', ' 1914', ' -221', ' -51', ' -127', ' -839', ' -1836', ' 113']","[' 189', ' -8', ' 13', ' 1566', ' 899', ' -853', ' -316', ' -21', ' 255']",pinch2finger,False
12:41:19.486390,"['-385', ' 761', ' 1883', ' -221', ' -51', ' -127', ' -842', ' -1783', ' 108']","[' 114', ' -16', ' 5', ' 1530', ' 921', ' -847', ' -316', ' -21', ' 255']",pinch2finger,False
12:41:19.487387,"['-335', ' 801', ' 1827', ' -221', ' -51', ' -127', ' -871', ' -1772', ' 143']","[' 58', ' -31', ' 4', ' 1595', ' 912', ' -814', ' -316', ' -21', ' 255']",pinch2finger,False
