Timestamp,Accel,Gyr,Label,Sep
18:02:19.968186,"['31', ' 8', ' 1945', ' -152', ' 299', ' 55', ' -285', ' -1584', ' -1147']","[' -146', ' -288', ' 266', ' 1439', ' 474', ' -800', ' 115', ' 282', ' 192']",pinch2finger,False
18:02:20.054619,"['6', ' -201', ' 1968', ' -152', ' 299', ' 55', ' -265', ' -1555', ' -1196']","[' -146', ' -288', ' 266', ' 1407', ' 369', ' -814', ' 115', ' 282', ' 192']",pinch2finger,False
18:02:20.055614,"['-117', ' -444', ' 2034', ' -152', ' 299', ' 55', ' -286', ' -1564', ' -1233']","[' -146', ' -288', ' 266', ' 1641', ' 358', ' -859', ' 115', ' 282', ' 192']",pinch2finger,False
18:02:20.056612,"['-179', ' -364', ' 1969', ' -152', ' 299', ' 55', ' -323', ' -1564', ' -1278']","[' -146', ' -288', ' 266', ' 1539', ' 500', ' -921', ' 115', ' 282', ' 192']",pinch2finger,False
18:02:20.057613,"['21', ' -383', ' 2015', ' -152', ' 299', ' 55', ' -245', ' -1556', ' -1285']","[' -146', ' -180', ' 157', ' 1601', ' 487', ' -1001', ' 115', ' 282', ' 192']",pinch2finger,False
18:02:20.058606,"['-83', ' -495', ' 2097', ' -152', ' 299', ' 55', ' -261', ' -1607', ' -1295']","[' -146', ' -180', ' 157', ' 1759', ' 513', ' -1050', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.060608,"['-205', ' -648', ' 2119', ' -152', ' 299', ' 55', ' -234', ' -1633', ' -1324']","[' -146', ' -180', ' 157', ' 1872', ' 568', ' -1101', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.061607,"['38', ' -666', ' 2165', ' -153', ' 141', ' 39', ' -228', ' -1643', ' -1375']","[' -146', ' -180', ' 157', ' 1847', ' 562', ' -1150', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.062602,"['152', ' -558', ' 2154', ' -153', ' 141', ' 39', ' -246', ' -1660', ' -1384']","[' -146', ' -180', ' 157', ' 1814', ' 632', ' -1162', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.064603,"['12', ' -493', ' 2158', ' -153', ' 141', ' 39', ' -279', ' -1675', ' -1399']","[' -146', ' -180', ' 157', ' 1792', ' 613', ' -1199', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.065597,"['53', ' -654', ' 2186', ' -153', ' 141', ' 39', ' -268', ' -1686', ' -1421']","[' -146', ' -180', ' 157', ' 1700', ' 596', ' -1207', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.066590,"['75', ' -817', ' 2164', ' -153', ' 141', ' 39', ' -230', ' -1706', ' -1389']","[' -146', ' -180', ' 157', ' 1745', ' 588', ' -1207', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.068588,"['-46', ' -704', ' 2235', ' -153', ' 141', ' 39', ' -249', ' -1725', ' -1382']","[' -146', ' -180', ' 157', ' 1798', ' 596', ' -1226', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.069590,"['34', ' -728', ' 2360', ' -153', ' 141', ' 39', ' -256', ' -1742', ' -1363']","[' -146', ' -180', ' 157', ' 1793', ' 489', ' -1194', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.070584,"['-17', ' -836', ' 2395', ' -153', ' 141', ' 39', ' -273', ' -1705', ' -1365']","[' -146', ' -180', ' 157', ' 1774', ' 477', ' -1118', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.071582,"['-122', ' -881', ' 2395', ' -153', ' 141', ' 39', ' -305', ' -1634', ' -1383']","[' -146', ' -180', ' 157', ' 1744', ' 394', ' -1031', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.073580,"['-107', ' -690', ' 2295', ' -153', ' 141', ' 39', ' -290', ' -1586', ' -1386']","[' -146', ' -180', ' 157', ' 1687', ' 313', ' -973', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.074574,"['73', ' -559', ' 2221', ' -153', ' 141', ' 39', ' -287', ' -1564', ' -1379']","[' -162', ' -65', ' 52', ' 1793', ' 322', ' -946', ' 148', ' 147', ' 182']",pinch2finger,False
18:02:20.075571,"['-1', ' -416', ' 2100', ' -153', ' 141', ' 39', ' -289', ' -1573', ' -1330']","[' -162', ' -65', ' 52', ' 1852', ' 318', ' -942', ' 197', ' 27', ' 224']",pinch2finger,False
18:02:20.076567,"['136', ' -302', ' 1985', ' -153', ' 141', ' 39', ' -244', ' -1550', ' -1294']","[' -162', ' -65', ' 52', ' 1811', ' 327', ' -920', ' 197', ' 27', ' 224']",pinch2finger,False
18:02:20.078562,"['228', ' -266', ' 1928', ' -181', ' 7', ' 23', ' -216', ' -1558', ' -1264']","[' -162', ' -65', ' 52', ' 1877', ' 265', ' -938', ' 197', ' 27', ' 224']",pinch2finger,False
18:02:20.079559,"['188', ' -181', ' 1981', ' -181', ' 7', ' 23', ' -245', ' -1578', ' -1236']","[' -162', ' -65', ' 52', ' 1918', ' 313', ' -926', ' 197', ' 27', ' 224']",pinch2finger,False
18:02:20.080560,"['216', ' -199', ' 2007', ' -181', ' 7', ' 23', ' -280', ' -1589', ' -1229']","[' -162', ' -65', ' 52', ' 1729', ' 418', ' -915', ' 197', ' 27', ' 224']",pinch2finger,False
18:02:20.081558,"['324', ' -176', ' 2086', ' -181', ' 7', ' 23', ' -238', ' -1537', ' -1221']","[' -162', ' -65', ' 52', ' 1596', ' 425', ' -889', ' 197', ' 27', ' 224']",pinch2finger,False
18:02:20.082552,"['377', ' -227', ' 2125', ' -181', ' 7', ' 23', ' -289', ' -1537', ' -1212']","[' -162', ' -65', ' 52', ' 1602', ' 496', ' -914', ' 197', ' 27', ' 224']",pinch2finger,False
18:02:20.084546,"['216', ' -265', ' 2130', ' -181', ' 7', ' 23', ' -225', ' -1585', ' -1224']","[' -162', ' -65', ' 52', ' 1574', ' 472', ' -946', ' 197', ' 27', ' 224']",pinch2finger,False
18:02:20.085552,"['205', ' -322', ' 2065', ' -181', ' 7', ' 23', ' -220', ' -1576', ' -1202']","[' -162', ' -65', ' 52', ' 1614', ' 488', ' -1018', ' 197', ' 27', ' 224']",pinch2finger,False
18:02:20.086540,"['58', ' -157', ' 1993', ' -181', ' 7', ' 23', ' -229', ' -1585', ' -1238']","[' -162', ' -65', ' 52', ' 1633', ' 525', ' -1080', ' 197', ' 27', ' 224']",pinch2finger,False
18:02:20.087540,"['93', ' -176', ' 1962', ' -181', ' 7', ' 23', ' -220', ' -1601', ' -1239']","[' -162', ' -65', ' 52', ' 1574', ' 498', ' -1067', ' 197', ' 27', ' 224']",pinch2finger,False
