Timestamp,Accel,Gyr,Label,Sep
17:48:30.544316,"['-777', ' -435', ' 1786', ' -673', ' 357', ' 88', ' -181', ' -1974', ' 132']","[' -264', ' -415', ' 93', ' 1227', ' 1397', ' -15', ' -1114', ' -551', ' 491']",pinch2finger,False
17:48:30.639650,"['-995', ' -402', ' 1789', ' -567', ' 387', ' 71', ' 785', ' -2194', ' 931']","[' -32', ' -115', ' -154', ' 1421', ' 1451', ' -236', ' -1114', ' -551', ' 491']",pinch2finger,False
17:48:30.641645,"['-947', ' -434', ' 1550', ' -640', ' 189', ' 33', ' -288', ' -1737', ' 96']","[' -48', ' -297', ' -388', ' 1415', ' 1439', ' -624', ' -851', ' -419', ' 160']",pinch2finger,False
17:48:30.642642,"['-955', ' -310', ' 1370', ' -866', ' 93', ' -73', ' -428', ' -2171', ' 211']","[' 11', ' -18', ' -386', ' 1754', ' 1734', ' -803', ' -851', ' -419', ' 160']",pinch2finger,False
17:48:30.643639,"['-928', ' -347', ' 1329', ' -1060', ' -28', ' -104', ' -454', ' -2348', ' -213']","[' -55', ' -333', ' -116', ' 1042', ' 1316', ' -465', ' -851', ' -419', ' 160']",pinch2finger,False
17:48:30.644637,"['-360', ' -1389', ' 2789', ' -1205', ' 34', ' -94', ' -373', ' -2154', ' -99']","[' -151', ' -473', ' -67', ' 486', ' 525', ' 2625', ' -851', ' -419', ' 160']",pinch2finger,False
17:48:30.646631,"['-1566', ' -1957', ' 5692', ' -169', ' 336', ' -149', ' 4', ' -2124', ' 92']","[' -161', ' -446', ' -25', ' 1476', ' 999', ' 630', ' -851', ' -419', ' 160']",pinch2finger,False
17:48:30.647630,"['-1626', ' -287', ' 1700', ' 293', ' 316', ' 25', ' 67', ' -2091', ' 299']","[' -125', ' -247', ' 2', ' 2035', ' 1465', ' -624', ' -851', ' -419', ' 160']",pinch2finger,False
17:48:30.648628,"['-991', ' 66', ' 907', ' -575', ' 320', ' 89', ' -134', ' -2009', ' 77']","[' -184', ' -166', ' -23', ' 1457', ' 1189', ' -450', ' -851', ' -419', ' 160']",pinch2finger,False
17:48:30.649623,"['-173', ' -614', ' 1624', ' -707', ' 49', ' 67', ' -511', ' -1905', ' -34']","[' -235', ' -200', ' -121', ' 1171', ' 1604', ' 229', ' -851', ' -419', ' 160']",pinch2finger,False
17:48:30.651618,"['-628', ' -600', ' 2110', ' -293', ' 501', ' -39', ' -390', ' -2069', ' 27']","[' -281', ' -297', ' -98', ' 1186', ' 1293', ' 47', ' -851', ' -419', ' 160']",pinch2finger,False
17:48:30.652616,"['-1144', ' -431', ' 2125', ' -102', ' 464', ' -136', ' -29', ' -2172', ' 191']","[' -245', ' -244', ' -66', ' 1380', ' 1269', ' -49', ' -851', ' -419', ' 160']",pinch2finger,False
